	Mean	MCSE	StdDev	MAD	2.5%	50%	97.5%	ESS_bulk	ESS_tail	ESS_bulk/s	R_hat
a_conf[1,106]	0.2347	0.000723	0.1354	0.1333	0.03911	0.2123	0.5509	30190.0	23080.0	1.582	1.0
a_conf[1,107]	0.6038	0.0009597	0.1495	0.1586	0.2905	0.6175	0.8555	25140.0	25680.0	1.317	1.0
a_conf[1,108]	0.2954	0.0004964	0.08851	0.08689	0.1501	0.2861	0.4923	31150.0	27170.0	1.632	1.0
a_conf[1,109]	0.3192	0.0004239	0.08096	0.08052	0.1761	0.3142	0.4921	35380.0	27640.0	1.853	1.0
a_conf[1,110]	0.3375	0.0003698	0.07149	0.07067	0.2141	0.332	0.4924	37180.0	32970.0	1.948	1.0
a_conf[1,111]	0.4195	0.0004137	0.08611	0.08628	0.2635	0.4154	0.6012	43380.0	30270.0	2.273	1.0
a_conf[1,112]	0.3116	0.0003581	0.06827	0.06761	0.1944	0.3059	0.4598	36700.0	33060.0	1.923	1.0
a_conf[1,113]	0.3351	0.0003931	0.07486	0.0744	0.2031	0.3299	0.495	36140.0	30880.0	1.893	1.0
a_conf[1,114]	0.3606	0.0004128	0.07409	0.07435	0.2284	0.3565	0.5161	32170.0	30920.0	1.685	1.0
a_conf[1,115]	0.2646	0.0004287	0.07906	0.07964	0.1261	0.2601	0.4317	32720.0	25650.0	1.714	1.0
a_conf[1,116]	0.3502	0.0004388	0.08134	0.08055	0.2104	0.3434	0.5266	34490.0	29970.0	1.807	1.0
a_conf[1,117]	0.2065	0.0002662	0.05608	0.05605	0.108	0.2027	0.3255	42620.0	28290.0	2.233	1.0
a_conf[1,118]	0.3158	0.0004634	0.09188	0.09331	0.1516	0.3112	0.5086	37820.0	25790.0	1.981	0.9999
a_conf[1,119]	0.2018	0.0003777	0.07103	0.06825	0.08835	0.1929	0.3647	35120.0	29690.0	1.84	1.0
a_conf[1,120]	0.3988	0.0004363	0.08929	0.08861	0.2403	0.393	0.5892	41960.0	31460.0	2.198	1.0
a_conf[1,121]	0.2061	0.0003267	0.06019	0.06	0.106	0.2	0.3394	32390.0	26850.0	1.697	1.0
a_conf[1,122]	0.2003	0.0004288	0.06732	0.06386	0.09089	0.1927	0.3529	24300.0	25260.0	1.273	1.0
a_conf[1,123]	0.2995	0.0007939	0.1208	0.1259	0.09601	0.2907	0.5561	21730.0	22120.0	1.139	1.0
